name,description,price
Smart Mug,Temperature-controlled mug with app integration,49
Foldable Treadmill,Compact treadmill for home use,699
Wireless Charger,Fast wireless charger compatible with multiple devices,39
Smart Bike,Electric bike with GPS and app control,1199
Gaming Mouse,Ergonomic RGB gaming mouse with high DPI,79
Noise-Reducing Earplugs,Advanced earplugs for concentration and sleep,29
Portable Blender,USB rechargeable blender for smoothies on the go,59
Smart Plant Pot,Monitors soil and water automatically,39
Home Security Camera,1080p Wi-Fi camera with night vision,129
LED Desk Lamp,Touch-controlled lamp with adjustable brightness,45
Mini Fridge,Portable mini fridge for office or bedroom,199
Smart Door Lock,Keyless entry with fingerprint and app control,249
Electric Kettle,Fast boiling kettle with temperature control,59
Wireless Keyboard,Compact Bluetooth keyboard with long battery life,49
Laptop Stand,Adjustable aluminum stand for laptops,39
Smart Plug,Wi-Fi plug for remote control of appliances,29
Robot Mop,Autonomous mop with water tank and scheduling,299
Action Drone,Foldable drone with HD camera,499
VR Gloves,Immersive gloves for VR interaction,199
Smart Coffee Grinder,Programmable grinder with app connectivity,79
